"package","version","needed_by_dir","type","is_pecan"
"PEcAn.allometry","*","base/all","Suggests",TRUE
"PEcAn.assim.batch","*","base/all","Depends",TRUE
"PEcAn.assim.batch","*","modules/rtm","Imports",TRUE
"PEcAn.benchmark","*","base/all","Depends",TRUE
"PEcAn.benchmark","*","modules/assim.batch","Imports",TRUE
"PEcAn.benchmark","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.benchmark","*","modules/data.land","Imports",TRUE
"PEcAn.BIOCRO","*","base/all","Suggests",TRUE
"PEcAn.BIOCRO","*","base/qaqc","Suggests",TRUE
"PEcAn.DALEC","*","base/all","Suggests",TRUE
"PEcAn.data.atmosphere","*","base/all","Depends",TRUE
"PEcAn.data.atmosphere","*","base/workflow","Imports",TRUE
"PEcAn.data.atmosphere","*","models/basgra","Imports",TRUE
"PEcAn.data.atmosphere","*","models/biocro","Imports",TRUE
"PEcAn.data.atmosphere","*","models/ed","Imports",TRUE
"PEcAn.data.atmosphere","*","models/jules","Imports",TRUE
"PEcAn.data.atmosphere","*","models/ldndc","Imports",TRUE
"PEcAn.data.atmosphere","*","models/linkages","Imports",TRUE
"PEcAn.data.atmosphere","*","models/maat","Imports",TRUE
"PEcAn.data.atmosphere","*","models/maespa","Imports",TRUE
"PEcAn.data.atmosphere","*","models/preles","Imports",TRUE
"PEcAn.data.atmosphere","*","models/sipnet","Depends",TRUE
"PEcAn.data.atmosphere","*","modules/data.land","Imports",TRUE
"PEcAn.data.land","*","base/all","Depends",TRUE
"PEcAn.data.land","*","base/workflow","Imports",TRUE
"PEcAn.data.land","*","models/biocro","Imports",TRUE
"PEcAn.data.land","*","models/ed","Imports",TRUE
"PEcAn.data.land","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.data.land","*","modules/benchmark","Suggests",TRUE
"PEcAn.data.remote","*","base/all","Depends",TRUE
"PEcAn.data.remote","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.DB","*","base/all","Depends",TRUE
"PEcAn.DB","*","base/qaqc","Imports",TRUE
"PEcAn.DB","*","base/settings","Imports",TRUE
"PEcAn.DB","*","base/workflow","Imports",TRUE
"PEcAn.DB","*","models/biocro","Suggests",TRUE
"PEcAn.DB","*","models/stics","Imports",TRUE
"PEcAn.DB","*","models/template","Imports",TRUE
"PEcAn.DB","*","modules/allometry","Imports",TRUE
"PEcAn.DB","*","modules/assim.batch","Imports",TRUE
"PEcAn.DB","*","modules/assim.sequential","Imports",TRUE
"PEcAn.DB","*","modules/benchmark","Imports",TRUE
"PEcAn.DB","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.DB","*","modules/data.land","Imports",TRUE
"PEcAn.DB","*","modules/data.remote","Imports",TRUE
"PEcAn.DB","*","modules/meta.analysis","Imports",TRUE
"PEcAn.DB","*","modules/uncertainty","Imports",TRUE
"PEcAn.ED2","*","base/all","Suggests",TRUE
"PEcAn.ED2","*","base/qaqc","Suggests",TRUE
"PEcAn.ED2","*","modules/rtm","Suggests",TRUE
"PEcAn.emulator","*","base/all","Depends",TRUE
"PEcAn.emulator","*","modules/assim.batch","Imports",TRUE
"PEcAn.emulator","*","modules/uncertainty","Imports",TRUE
"PEcAn.LINKAGES","*","base/all","Suggests",TRUE
"PEcAn.logger","*","base/all","Depends",TRUE
"PEcAn.logger","*","base/db","Imports",TRUE
"PEcAn.logger","*","base/qaqc","Imports",TRUE
"PEcAn.logger","*","base/remote","Imports",TRUE
"PEcAn.logger","*","base/settings","Imports",TRUE
"PEcAn.logger","*","base/utils","Imports",TRUE
"PEcAn.logger","*","base/visualization","Imports",TRUE
"PEcAn.logger","*","base/workflow","Imports",TRUE
"PEcAn.logger","*","models/basgra","Imports",TRUE
"PEcAn.logger","*","models/biocro","Imports",TRUE
"PEcAn.logger","*","models/cable","Imports",TRUE
"PEcAn.logger","*","models/clm45","Depends",TRUE
"PEcAn.logger","*","models/dalec","Imports",TRUE
"PEcAn.logger","*","models/dvmdostem","Imports",TRUE
"PEcAn.logger","*","models/ed","Imports",TRUE
"PEcAn.logger","*","models/fates","Imports",TRUE
"PEcAn.logger","*","models/gday","Imports",TRUE
"PEcAn.logger","*","models/jules","Imports",TRUE
"PEcAn.logger","*","models/ldndc","Imports",TRUE
"PEcAn.logger","*","models/linkages","Imports",TRUE
"PEcAn.logger","*","models/lpjguess","Imports",TRUE
"PEcAn.logger","*","models/maat","Imports",TRUE
"PEcAn.logger","*","models/maespa","Imports",TRUE
"PEcAn.logger","*","models/preles","Imports",TRUE
"PEcAn.logger","*","models/sibcasa","Imports",TRUE
"PEcAn.logger","*","models/sipnet","Imports",TRUE
"PEcAn.logger","*","models/stics","Imports",TRUE
"PEcAn.logger","*","models/template","Imports",TRUE
"PEcAn.logger","*","modules/assim.batch","Imports",TRUE
"PEcAn.logger","*","modules/assim.sequential","Imports",TRUE
"PEcAn.logger","*","modules/benchmark","Imports",TRUE
"PEcAn.logger","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.logger","*","modules/data.hydrology","Imports",TRUE
"PEcAn.logger","*","modules/data.land","Imports",TRUE
"PEcAn.logger","*","modules/data.remote","Imports",TRUE
"PEcAn.logger","*","modules/meta.analysis","Imports",TRUE
"PEcAn.logger","*","modules/priors","Imports",TRUE
"PEcAn.logger","*","modules/rtm","Imports",TRUE
"PEcAn.logger","*","modules/uncertainty","Imports",TRUE
"PEcAn.MA","*","base/all","Depends",TRUE
"PEcAn.MA","*","modules/assim.batch","Imports",TRUE
"PEcAn.MA","*","modules/priors","Imports",TRUE
"PEcAn.photosynthesis","*","base/all","Suggests",TRUE
"PEcAn.priors","*","base/all","Depends",TRUE
"PEcAn.priors","*","modules/uncertainty","Imports",TRUE
"PEcAn.remote","*","base/all","Depends",TRUE
"PEcAn.remote","*","base/db","Imports",TRUE
"PEcAn.remote","*","base/settings","Imports",TRUE
"PEcAn.remote","*","base/workflow","Imports",TRUE
"PEcAn.remote","*","models/biocro","Imports",TRUE
"PEcAn.remote","*","models/dalec","Imports",TRUE
"PEcAn.remote","*","models/ed","Imports",TRUE
"PEcAn.remote","*","models/fates","Imports",TRUE
"PEcAn.remote","*","models/gday","Imports",TRUE
"PEcAn.remote","*","models/jules","Imports",TRUE
"PEcAn.remote","*","models/ldndc","Imports",TRUE
"PEcAn.remote","*","models/linkages","Imports",TRUE
"PEcAn.remote","*","models/lpjguess","Imports",TRUE
"PEcAn.remote","*","models/maat","Imports",TRUE
"PEcAn.remote","*","models/maespa","Imports",TRUE
"PEcAn.remote","*","models/sipnet","Imports",TRUE
"PEcAn.remote","*","models/stics","Imports",TRUE
"PEcAn.remote","*","modules/assim.batch","Imports",TRUE
"PEcAn.remote","*","modules/assim.sequential","Imports",TRUE
"PEcAn.remote","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.remote","*","modules/data.land","Imports",TRUE
"PEcAn.remote","*","modules/data.remote","Imports",TRUE
"PEcAn.settings","*","base/all","Depends",TRUE
"PEcAn.settings","*","base/workflow","Imports",TRUE
"PEcAn.settings","*","models/biocro","Imports",TRUE
"PEcAn.settings","*","models/ed","Imports",TRUE
"PEcAn.settings","*","models/maat","Imports",TRUE
"PEcAn.settings","*","models/stics","Imports",TRUE
"PEcAn.settings","*","modules/assim.batch","Imports",TRUE
"PEcAn.settings","*","modules/assim.sequential","Imports",TRUE
"PEcAn.settings","*","modules/benchmark","Imports",TRUE
"PEcAn.settings","*","modules/data.atmosphere","Suggests",TRUE
"PEcAn.settings","*","modules/data.land","Suggests",TRUE
"PEcAn.settings","*","modules/meta.analysis","Imports",TRUE
"PEcAn.settings","*","modules/uncertainty","Imports",TRUE
"PEcAn.SIPNET","*","base/all","Suggests",TRUE
"PEcAn.SIPNET","*","base/qaqc","Suggests",TRUE
"PEcAn.uncertainty","*","base/all","Depends",TRUE
"PEcAn.uncertainty","*","base/workflow","Imports",TRUE
"PEcAn.uncertainty","*","modules/assim.batch","Imports",TRUE
"PEcAn.uncertainty","*","modules/assim.sequential","Imports",TRUE
"PEcAn.utils","*","base/all","Depends",TRUE
"PEcAn.utils","*","base/db","Imports",TRUE
"PEcAn.utils","*","base/qaqc","Suggests",TRUE
"PEcAn.utils","*","base/settings","Imports",TRUE
"PEcAn.utils","*","base/workflow","Imports",TRUE
"PEcAn.utils","*","models/biocro","Imports",TRUE
"PEcAn.utils","*","models/clm45","Depends",TRUE
"PEcAn.utils","*","models/dalec","Imports",TRUE
"PEcAn.utils","*","models/ed","Imports",TRUE
"PEcAn.utils","*","models/fates","Imports",TRUE
"PEcAn.utils","*","models/gday","Depends",TRUE
"PEcAn.utils","*","models/jules","Imports",TRUE
"PEcAn.utils","*","models/linkages","Depends",TRUE
"PEcAn.utils","*","models/lpjguess","Imports",TRUE
"PEcAn.utils","*","models/maat","Imports",TRUE
"PEcAn.utils","*","models/maespa","Imports",TRUE
"PEcAn.utils","*","models/preles","Depends",TRUE
"PEcAn.utils","*","models/preles","Imports",TRUE
"PEcAn.utils","*","models/sipnet","Imports",TRUE
"PEcAn.utils","*","modules/assim.batch","Imports",TRUE
"PEcAn.utils","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.utils","*","modules/benchmark","Imports",TRUE
"PEcAn.utils","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.utils","*","modules/data.hydrology","Imports",TRUE
"PEcAn.utils","*","modules/data.land","Imports",TRUE
"PEcAn.utils","*","modules/data.remote","Imports",TRUE
"PEcAn.utils","*","modules/meta.analysis","Imports",TRUE
"PEcAn.utils","*","modules/rtm","Suggests",TRUE
"PEcAn.utils","*","modules/uncertainty","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/basgra","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/cable","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/dvmdostem","Imports",TRUE
